,close,open,time,date,date2,norm
38,5.69,5.96,"Feb 16, 2018",2018-02-16,02/16/18,1.778125
39,5.98,5.01,"Feb 15, 2018",2018-02-15,02/15/18,1.8687500000000001
40,5.0,4.18,"Feb 14, 2018",2018-02-14,02/14/18,1.5625
41,4.2,4.31,"Feb 13, 2018",2018-02-13,02/13/18,1.3125
42,4.31,4.0,"Feb 12, 2018",2018-02-12,02/12/18,1.3468749999999998
43,3.97,4.38,"Feb 11, 2018",2018-02-11,02/11/18,1.240625
44,4.4,4.66,"Feb 10, 2018",2018-02-10,02/10/18,1.375
45,4.66,4.27,"Feb 09, 2018",2018-02-09,02/09/18,1.45625
46,4.28,3.84,"Feb 08, 2018",2018-02-08,02/08/18,1.3375
47,3.87,4.14,"Feb 07, 2018",2018-02-07,02/07/18,1.2093749999999999
48,4.19,3.58,"Feb 06, 2018",2018-02-06,02/06/18,1.309375
49,3.51,4.5,"Feb 05, 2018",2018-02-05,02/05/18,1.0968749999999998
50,4.54,5.51,"Feb 04, 2018",2018-02-04,02/04/18,1.41875
51,5.52,4.93,"Feb 03, 2018",2018-02-03,02/03/18,1.7249999999999999
52,4.9,5.27,"Feb 02, 2018",2018-02-02,02/02/18,1.53125
53,5.27,6.33,"Feb 01, 2018",2018-02-01,02/01/18,1.6468749999999999
54,6.33,5.87,"Jan 31, 2018",2018-01-31,01/31/18,1.978125
55,5.83,6.44,"Jan 30, 2018",2018-01-30,01/30/18,1.821875
56,6.43,6.76,"Jan 29, 2018",2018-01-29,01/29/18,2.009375
57,6.8,7.0,"Jan 28, 2018",2018-01-28,01/28/18,2.125
58,6.92,7.29,"Jan 27, 2018",2018-01-27,01/27/18,2.1624999999999996
59,7.3,6.94,"Jan 26, 2018",2018-01-26,01/26/18,2.28125
60,6.93,7.52,"Jan 25, 2018",2018-01-25,01/25/18,2.165625
61,7.44,7.69,"Jan 24, 2018",2018-01-24,01/24/18,2.325
62,7.69,8.28,"Jan 23, 2018",2018-01-23,01/23/18,2.403125
