,close,open,time,date,date2,norm
82,962.72,886.0,"Jan 03, 2018",2018-01-03,01/03/18,1.9649351974691296
83,884.44,772.35,"Jan 02, 2018",2018-01-02,01/02/18,1.8051637922236965
84,772.64,755.76,"Jan 01, 2018",2018-01-01,01/01/18,1.576977242575773
85,756.73,712.21,"Dec 31, 2017",2017-12-31,12/31/17,1.5445045412797225
86,717.26,753.82,"Dec 30, 2017",2017-12-30,12/30/17,1.4639453005408716
87,753.59,740.39,"Dec 29, 2017",2017-12-29,12/29/17,1.538095724053475
88,737.02,762.21,"Dec 28, 2017",2017-12-28,12/28/17,1.5042759465251556
89,762.84,774.97,"Dec 27, 2017",2017-12-27,12/27/17,1.5569752015511789
90,773.84,763.37,"Dec 26, 2017",2017-12-26,12/26/17,1.5794264720889888
91,765.83,698.87,"Dec 25, 2017",2017-12-25,12/25/17,1.5630778650882744
92,694.15,721.77,"Dec 24, 2017",2017-12-24,12/24/17,1.416777222165527
93,719.39,681.32,"Dec 23, 2017",2017-12-23,12/23/17,1.4682926829268292
94,674.86,822.64,"Dec 22, 2017",2017-12-22,12/22/17,1.3774058577405859
95,821.06,820.24,"Dec 21, 2017",2017-12-21,12/21/17,1.6758036534340237
96,819.09,827.52,"Dec 20, 2017",2017-12-20,12/20/17,1.6717828349831616
97,826.82,793.9,"Dec 19, 2017",2017-12-19,12/19/17,1.6875599550974592
98,794.64,721.73,"Dec 18, 2017",2017-12-18,12/18/17,1.621879783651393
99,719.98,696.24,"Dec 17, 2017",2017-12-17,12/17/17,1.4694968874374936
100,696.21,686.19,"Dec 16, 2017",2017-12-16,12/16/17,1.4209817328298806
101,684.45,696.38,"Dec 15, 2017",2017-12-15,12/15/17,1.3969792836003676
102,695.82,700.59,"Dec 14, 2017",2017-12-14,12/14/17,1.4201857332380856
103,702.77,644.91,"Dec 13, 2017",2017-12-13,12/13/17,1.4343708541687927
104,651.43,522.29,"Dec 12, 2017",2017-12-12,12/12/17,1.3295846514950505
105,515.14,440.36,"Dec 11, 2017",2017-12-11,12/11/17,1.0514134095315848
106,441.72,472.79,"Dec 10, 2017",2017-12-10,12/10/17,0.901561383814675
107,473.5,457.34,"Dec 09, 2017",2017-12-09,12/09/17,0.9664251454230024
108,456.03,434.99,"Dec 08, 2017",2017-12-08,12/08/17,0.9307684457597714
109,434.41,426.37,"Dec 07, 2017",2017-12-07,12/07/17,0.8866414940300031
110,428.59,462.6,"Dec 06, 2017",2017-12-06,12/06/17,0.8747627308909072
111,463.28,470.29,"Dec 05, 2017",2017-12-05,12/05/17,0.9455658740687825
112,470.2,466.05,"Dec 04, 2017",2017-12-04,12/04/17,0.9596897642616593
113,465.85,463.7,"Dec 03, 2017",2017-12-03,12/03/17,0.9508113072762527
114,463.45,466.85,"Dec 02, 2017",2017-12-02,12/02/17,0.9459128482498214
115,466.54,445.21,"Dec 01, 2017",2017-12-01,12/01/17,0.9522196142463517
116,447.11,431.21,"Nov 30, 2017",2017-11-30,11/30/17,0.9125625063782019
117,427.52,473.28,"Nov 29, 2017",2017-11-29,11/29/17,0.8725788345749567
118,472.9,480.52,"Nov 28, 2017",2017-11-28,11/28/17,0.9652005306663946
119,480.36,471.53,"Nov 27, 2017",2017-11-27,11/27/17,0.9804265741402184
120,471.33,465.97,"Nov 26, 2017",2017-11-26,11/26/17,0.9619961220532708
121,466.28,475.68,"Nov 25, 2017",2017-11-25,11/25/17,0.9516889478518216
122,474.91,412.5,"Nov 24, 2017",2017-11-24,11/24/17,0.9693029901010308
123,410.17,381.44,"Nov 23, 2017",2017-11-23,11/23/17,0.8371670578630473
124,380.65,360.31,"Nov 22, 2017",2017-11-22,11/22/17,0.7769160118379426
125,360.4,367.44,"Nov 21, 2017",2017-11-21,11/21/17,0.7355852638024288
126,366.73,354.09,"Nov 20, 2017",2017-11-20,11/20/17,0.7485049494846413
127,354.39,347.4,"Nov 19, 2017",2017-11-19,11/19/17,0.7233187059904072
128,347.61,331.98,"Nov 18, 2017",2017-11-18,11/18/17,0.7094805592407389
129,332.39,330.17,"Nov 17, 2017",2017-11-17,11/17/17,0.6784161649147872
130,330.92,333.44,"Nov 16, 2017",2017-11-16,11/16/17,0.6754158587610981
131,333.36,337.96,"Nov 15, 2017",2017-11-15,11/15/17,0.6803959587713032
132,337.63,316.76,"Nov 14, 2017",2017-11-14,11/14/17,0.6891111337891621
133,316.72,307.02,"Nov 13, 2017",2017-11-13,11/13/17,0.6464333095213798
134,307.91,314.69,"Nov 12, 2017",2017-11-12,11/12/17,0.6284518828451884
135,314.68,298.59,"Nov 11, 2017",2017-11-11,11/11/17,0.6422696193489131
136,299.25,320.67,"Nov 10, 2017",2017-11-10,11/10/17,0.6107766098581489
137,320.88,308.64,"Nov 09, 2017",2017-11-09,11/09/17,0.6549239718338606
138,309.07,294.27,"Nov 08, 2017",2017-11-08,11/08/17,0.63081947137463
139,294.66,298.57,"Nov 07, 2017",2017-11-07,11/07/17,0.6014083069700991
140,298.89,296.43,"Nov 06, 2017",2017-11-06,11/06/17,0.6100418410041841
141,296.26,300.04,"Nov 05, 2017",2017-11-05,11/05/17,0.6046739463210532
142,300.47,305.48,"Nov 04, 2017",2017-11-04,11/04/17,0.6132666598632515
143,305.71,288.5,"Nov 03, 2017",2017-11-03,11/03/17,0.6239616287376263
144,287.43,290.73,"Nov 02, 2017",2017-11-02,11/02/17,0.5866516991529748
145,291.69,305.76,"Nov 01, 2017",2017-11-01,11/01/17,0.5953464639248903
146,305.88,307.38,"Oct 31, 2017",2017-10-31,10/31/17,0.6243086029186652
147,307.75,304.78,"Oct 30, 2017",2017-10-30,10/30/17,0.6281253189100929
148,305.09,296.38,"Oct 29, 2017",2017-10-29,10/29/17,0.6226961934891315
149,296.3,297.92,"Oct 28, 2017",2017-10-28,10/28/17,0.604755587304827
150,297.42,296.51,"Oct 27, 2017",2017-10-27,10/27/17,0.607041534850495
151,296.53,298.02,"Oct 26, 2017",2017-10-26,10/26/17,0.6052250229615267
