,close,open,time,date,date2,norm
40,122.52,110.86,"Feb 14, 2018",2018-02-14,02/14/18,2.050887177770338
41,111.17,113.64,"Feb 13, 2018",2018-02-13,02/13/18,1.8608972212922665
42,113.25,104.18,"Feb 12, 2018",2018-02-12,02/12/18,1.8957147639772347
43,103.4,110.45,"Feb 11, 2018",2018-02-11,02/11/18,1.7308336123200536
44,110.63,117.21,"Feb 10, 2018",2018-02-10,02/10/18,1.8518580515567458
45,117.57,111.99,"Feb 09, 2018",2018-02-09,02/09/18,1.9680281218613993
46,112.43,104.06,"Feb 08, 2018",2018-02-08,02/08/18,1.8819886173418146
47,102.5,105.13,"Feb 07, 2018",2018-02-07,02/07/18,1.7157683294275192
48,105.95,84.07,"Feb 06, 2018",2018-02-06,02/06/18,1.7735185805155675
49,82.37,107.58,"Feb 05, 2018",2018-02-05,02/05/18,1.3788081687311684
50,107.45,122.22,"Feb 04, 2018",2018-02-04,02/04/18,1.798627385336458
51,122.97,121.03,"Feb 03, 2018",2018-02-03,02/03/18,2.058419819216605
52,120.13,125.64,"Feb 02, 2018",2018-02-02,02/02/18,2.0108804820890525
53,126.0,145.96,"Feb 01, 2018",2018-02-01,02/01/18,2.109139604954804
54,145.76,145.4,"Jan 31, 2018",2018-01-31,01/31/18,2.439906260462002
55,146.28,168.86,"Jan 30, 2018",2018-01-30,01/30/18,2.448610646133244
56,168.14,152.08,"Jan 29, 2018",2018-01-29,01/29/18,2.814529628389688
57,152.16,140.37,"Jan 28, 2018",2018-01-28,01/28/18,2.5470371610311346
58,140.2,138.14,"Jan 27, 2018",2018-01-27,01/27/18,2.3468362905925675
59,137.89,137.75,"Jan 26, 2018",2018-01-26,01/26/18,2.3081687311683963
60,138.0,138.09,"Jan 25, 2018",2018-01-25,01/25/18,2.3100100435219284
61,136.41,122.57,"Jan 24, 2018",2018-01-24,01/24/18,2.2833947104117844
62,121.6,123.37,"Jan 23, 2018",2018-01-23,01/23/18,2.0354871108135253
63,123.66,132.3,"Jan 22, 2018",2018-01-22,01/22/18,2.069969869434215
64,131.09,150.23,"Jan 21, 2018",2018-01-21,01/21/18,2.1943421493136928
65,149.94,140.49,"Jan 20, 2018",2018-01-20,01/20/18,2.5098761298962167
66,139.5,141.25,"Jan 19, 2018",2018-01-19,01/19/18,2.3351188483428187
67,142.66,142.6,"Jan 18, 2018",2018-01-18,01/18/18,2.388014730498828
68,141.37,144.72,"Jan 17, 2018",2018-01-17,01/17/18,2.3664211583528623
69,145.3,187.97,"Jan 16, 2018",2018-01-16,01/16/18,2.432206226983596
70,187.41,170.1,"Jan 15, 2018",2018-01-15,01/15/18,3.137094074322062
71,170.42,140.56,"Jan 14, 2018",2018-01-14,01/14/18,2.852695011717442
72,140.62,124.15,"Jan 13, 2018",2018-01-13,01/13/18,2.353866755942417
73,124.47,109.19,"Jan 12, 2018",2018-01-12,01/12/18,2.0835286240374957
74,108.3,123.1,"Jan 11, 2018",2018-01-11,01/11/18,1.8128557080682959
75,122.99,127.23,"Jan 10, 2018",2018-01-10,01/10/18,2.058754603280884
76,126.94,102.07,"Jan 09, 2018",2018-01-09,01/09/18,2.1248744559758954
77,102.38,102.12,"Jan 08, 2018",2018-01-08,01/08/18,1.7137596250418479
78,102.43,101.12,"Jan 07, 2018",2018-01-07,01/07/18,1.7145965852025444
79,100.86,95.31,"Jan 06, 2018",2018-01-06,01/06/18,1.688316036156679
80,95.28,98.91,"Jan 05, 2018",2018-01-05,01/05/18,1.594911282222966
81,99.11,104.79,"Jan 04, 2018",2018-01-04,01/04/18,1.6590224305323067
82,105.56,90.3,"Jan 03, 2018",2018-01-03,01/03/18,1.7669902912621358
83,90.33,78.53,"Jan 02, 2018",2018-01-02,01/02/18,1.5120522263140275
84,78.82,76.19,"Jan 01, 2018",2018-01-01,01/01/18,1.3193839973217274
85,75.96,72.56,"Dec 31, 2017",2017-12-31,12/31/17,1.271509876129896
86,72.4,74.18,"Dec 30, 2017",2017-12-30,12/30/17,1.2119183126883162
87,73.9,65.7,"Dec 29, 2017",2017-12-29,12/29/17,1.2370271175092067
88,65.43,66.76,"Dec 28, 2017",2017-12-28,12/28/17,1.0952460662872447
89,66.88,65.53,"Dec 27, 2017",2017-12-27,12/27/17,1.1195179109474387
90,65.52,66.61,"Dec 26, 2017",2017-12-26,12/26/17,1.096752594576498
91,66.32,60.27,"Dec 25, 2017",2017-12-25,12/25/17,1.1101439571476397
92,59.7,59.32,"Dec 24, 2017",2017-12-24,12/24/17,0.9993304318714429
93,58.9,56.32,"Dec 23, 2017",2017-12-23,12/23/17,0.9859390693003013
94,55.57,71.54,"Dec 22, 2017",2017-12-22,12/22/17,0.9301975225979243
95,71.37,76.12,"Dec 21, 2017",2017-12-21,12/21/17,1.1946769333779712
96,75.62,71.31,"Dec 20, 2017",2017-12-20,12/20/17,1.265818547037161
97,70.81,77.19,"Dec 19, 2017",2017-12-19,12/19/17,1.185302979578172
98,77.22,68.45,"Dec 18, 2017",2017-12-18,12/18/17,1.2926012721794442
99,68.11,49.74,"Dec 17, 2017",2017-12-17,12/17/17,1.140107130900569
100,49.81,48.14,"Dec 16, 2017",2017-12-16,12/16/17,0.8337797120857048
101,47.99,50.54,"Dec 15, 2017",2017-12-15,12/15/17,0.8033143622363575
102,50.62,44.9,"Dec 14, 2017",2017-12-14,12/14/17,0.8473384666889855
103,44.81,40.73,"Dec 13, 2017",2017-12-13,12/13/17,0.7500836960160696
104,40.41,36.22,"Dec 12, 2017",2017-12-12,12/12/17,0.6764312018747907
105,35.88,33.32,"Dec 11, 2017",2017-12-11,12/11/17,0.6006026113157014
106,33.31,35.79,"Dec 10, 2017",2017-12-10,12/10/17,0.557582859055909
107,35.71,35.96,"Dec 09, 2017",2017-12-09,12/09/17,0.5977569467693338
108,36.27,34.84,"Dec 08, 2017",2017-12-08,12/08/17,0.607130900569133
109,34.86,35.04,"Dec 07, 2017",2017-12-07,12/07/17,0.5835286240374958
110,35.16,38.75,"Dec 06, 2017",2017-12-06,12/06/17,0.5885503850016739
111,38.82,41.99,"Dec 05, 2017",2017-12-05,12/05/17,0.6498158687646468
112,42.17,36.65,"Dec 04, 2017",2017-12-04,12/04/17,0.7058921995313023
113,36.62,35.09,"Dec 03, 2017",2017-12-03,12/03/17,0.6129896216940073
114,35.07,35.84,"Dec 02, 2017",2017-12-02,12/02/17,0.5870438567124204
115,35.84,32.89,"Dec 01, 2017",2017-12-01,12/01/17,0.5999330431871444
116,32.96,32.54,"Nov 30, 2017",2017-11-30,11/30/17,0.5517241379310345
117,32.28,37.99,"Nov 29, 2017",2017-11-29,11/29/17,0.5403414797455641
118,38.08,40.13,"Nov 28, 2017",2017-11-28,11/28/17,0.6374288583863408
119,40.13,38.32,"Nov 27, 2017",2017-11-27,11/27/17,0.6717442249748912
120,38.44,38.04,"Nov 26, 2017",2017-11-26,11/26/17,0.6434549715433545
121,38.13,34.83,"Nov 25, 2017",2017-11-25,11/25/17,0.6382658185470372
122,34.79,34.89,"Nov 24, 2017",2017-11-24,11/24/17,0.5823568798125209
123,34.9,35.83,"Nov 23, 2017",2017-11-23,11/23/17,0.5841981921660528
124,35.86,34.45,"Nov 22, 2017",2017-11-22,11/22/17,0.6002678272514228
125,34.36,36.21,"Nov 21, 2017",2017-11-21,11/21/17,0.5751590224305323
126,35.64,39.94,"Nov 20, 2017",2017-11-20,11/20/17,0.5965852025443589
127,39.75,43.01,"Nov 19, 2017",2017-11-19,11/19/17,0.6653833277535989
128,42.74,39.74,"Nov 18, 2017",2017-11-18,11/18/17,0.7154335453632407
129,40.5,28.71,"Nov 17, 2017",2017-11-17,11/17/17,0.6779377301640441
130,28.7,29.45,"Nov 16, 2017",2017-11-16,11/16/17,0.4804151322397054
131,29.35,29.79,"Nov 15, 2017",2017-11-15,11/15/17,0.49129561432875796
132,29.73,28.4,"Nov 14, 2017",2017-11-14,11/14/17,0.4976565115500502
133,28.4,27.12,"Nov 13, 2017",2017-11-13,11/13/17,0.4753933712755272
134,26.96,28.44,"Nov 12, 2017",2017-11-12,11/12/17,0.4512889186474724
135,28.53,28.15,"Nov 11, 2017",2017-11-11,11/11/17,0.4775694676933378
136,28.18,31.97,"Nov 10, 2017",2017-11-10,11/10/17,0.47171074656846335
137,31.9,30.76,"Nov 09, 2017",2017-11-09,11/09/17,0.5339805825242718
138,30.67,26.17,"Nov 08, 2017",2017-11-08,11/08/17,0.5133913625711416
139,26.23,26.26,"Nov 07, 2017",2017-11-07,11/07/17,0.43906930030130564
140,26.32,26.47,"Nov 06, 2017",2017-11-06,11/06/17,0.4405758285905591
141,26.38,26.48,"Nov 05, 2017",2017-11-05,11/05/17,0.44158018078339467
142,26.49,26.77,"Nov 04, 2017",2017-11-04,11/04/17,0.44342149313692664
143,26.82,24.6,"Nov 03, 2017",2017-11-03,11/03/17,0.4489454301975226
144,24.5,26.75,"Nov 02, 2017",2017-11-02,11/02/17,0.4101104787412119
145,26.86,28.38,"Nov 01, 2017",2017-11-01,11/01/17,0.44961499832607965
146,28.47,28.69,"Oct 31, 2017",2017-10-31,10/31/17,0.4765651155005021
147,28.79,27.72,"Oct 30, 2017",2017-10-30,10/30/17,0.4819216605289588
148,27.76,27.2,"Oct 29, 2017",2017-10-29,10/29/17,0.464680281218614
149,27.35,28.86,"Oct 28, 2017",2017-10-28,10/28/17,0.4578172079009039
150,28.76,28.33,"Oct 27, 2017",2017-10-27,10/27/17,0.481419484432541
151,28.33,28.48,"Oct 26, 2017",2017-10-26,10/26/17,0.4742216270505524
